original vehicle types,revised vehicle types
UNMARKED V,Unspecified
UPS,Truck
UPS M,Truck
UPS T,Truck
UPS TRUCK,Truck
US,Unspecified
US GO,Unspecified
US MA,Van
US MAIL TR,Van
USP M,Van
US PO,Van
USPOS,Van
U S POSTA,Van
US POSTAL,Van
USPS,Van
USPS2,Van
USPS 487,Van
USPS 7530,Van
USPS 88716,Van
USPS GOVT,Van
USPS MAIL,Van
USPS POSTA,Van
USPS TRUC ,Truck
USPS TRUCK,Truck
USPS VAN,Van
UT,Utility Vehicle
UTIL,Utility Vehicle
UTILI,Utility Vehicle
UTILITY,Utility Vehicle
UTILITY ,Utility Vehicle
UTILITY TR,Truck
UTILITY VA,Van
UTILITY VE,Utility Vehicle
UTILITY WH,Utility Vehicle
UTLIT,Utility Vehicle
UTV,Utility Vehicle
VAB,Armored Vehicle
VAN,Van
VAN ,Van
VAN A,Van
VAN B,Van
VAN C,Van
VAN CAMPER,Van
VAN E,Van
VANET,Van
VANETTE,Van
VANG,Van
VAN T,Van
VAN TRUCK,Van
VAN W,Van
VAV,Unspecified
VERIZ,Unspecified
VESPA,Bike
VMS,Unspecified
VPG,Unspecified
WAGON,Passenger Car
WELL DRILLER,Construction Vehicle
WHEEL,Unspecified
WH FORD CO,Unspecified
WHIT,Unspecified
WHITE,Unspecified
WHITE AMBU,Ambulance
WHITE VAN,Van
WINEB,Unspecified
WINNE,Unspecified
WORK,Unspecified
WORKH,Unspecified
WORKM,Unspecified
WORK TRUCK,Truck
WORK VAN,Van
YALE,Fork Lift
YAMAH,Unspecified
YAMAHA,Unspecified
YELLO,Passenger Car
YELLOW CAB,Passenger Car
YELLOWPOWE,Unspecified
YW PO,Unspecified
YY,Unspecified
